input : 1.000000 ^ 1.000000 => output = 0.058190 , expected : 0.000000
input : 0.000000 ^ 1.000000 => output = 0.058017 , expected : 1.000000
input : 0.000000 ^ 0.000000 => output = 0.059544 , expected : 0.000000
input : 1.000000 ^ 0.000000 => output = 0.060789 , expected : 1.000000
input : 1.000000 ^ 0.000000 => output = 0.063913 , expected : 1.000000
input : 1.000000 ^ 1.000000 => output = 0.067685 , expected : 0.000000
input : 0.000000 ^ 0.000000 => output = 0.062505 , expected : 0.000000
input : 0.000000 ^ 1.000000 => output = 0.066939 , expected : 1.000000
input : 1.000000 ^ 1.000000 => output = 0.070443 , expected : 0.000000
input : 0.000000 ^ 1.000000 => output = 0.070358 , expected : 1.000000
input : 0.000000 ^ 0.000000 => output = 0.065877 , expected : 0.000000
input : 1.000000 ^ 0.000000 => output = 0.074284 , expected : 1.000000
input : 0.000000 ^ 0.000000 => output = 0.067760 , expected : 0.000000
input : 1.000000 ^ 1.000000 => output = 0.078299 , expected : 0.000000
input : 1.000000 ^ 0.000000 => output = 0.078201 , expected : 1.000000
input : 0.000000 ^ 1.000000 => output = 0.083109 , expected : 1.000000
input : 1.000000 ^ 1.000000 => output = 0.087683 , expected : 0.000000
input : 1.000000 ^ 0.000000 => output = 0.088012 , expected : 1.000000
input : 0.000000 ^ 1.000000 => output = 0.094046 , expected : 1.000000
input : 0.000000 ^ 0.000000 => output = 0.076918 , expected : 0.000000
input : 0.000000 ^ 0.000000 => output = 0.076724 , expected : 0.000000
input : 0.000000 ^ 1.000000 => output = 0.100309 , expected : 1.000000
input : 1.000000 ^ 1.000000 => output = 0.107895 , expected : 0.000000
input : 1.000000 ^ 0.000000 => output = 0.106842 , expected : 1.000000
input : 0.000000 ^ 0.000000 => output = 0.082307 , expected : 0.000000
input : 1.000000 ^ 1.000000 => output = 0.115132 , expected : 0.000000
input : 0.000000 ^ 1.000000 => output = 0.113689 , expected : 1.000000
input : 1.000000 ^ 0.000000 => output = 0.122971 , expected : 1.000000
input : 0.000000 ^ 0.000000 => output = 0.088884 , expected : 0.000000
input : 1.000000 ^ 1.000000 => output = 0.130083 , expected : 0.000000
input : 1.000000 ^ 0.000000 => output = 0.131407 , expected : 1.000000
input : 0.000000 ^ 1.000000 => output = 0.143099 , expected : 1.000000
input : 0.000000 ^ 0.000000 => output = 0.096653 , expected : 0.000000
input : 1.000000 ^ 0.000000 => output = 0.155863 , expected : 1.000000
input : 1.000000 ^ 1.000000 => output = 0.166271 , expected : 0.000000
input : 0.000000 ^ 1.000000 => output = 0.167766 , expected : 1.000000
input : 0.000000 ^ 0.000000 => output = 0.105668 , expected : 0.000000
input : 0.000000 ^ 1.000000 => output = 0.183802 , expected : 1.000000
input : 1.000000 ^ 1.000000 => output = 0.190818 , expected : 0.000000
input : 1.000000 ^ 0.000000 => output = 0.198229 , expected : 1.000000
input : 1.000000 ^ 1.000000 => output = 0.209435 , expected : 0.000000
input : 1.000000 ^ 0.000000 => output = 0.213348 , expected : 1.000000
input : 0.000000 ^ 1.000000 => output = 0.236260 , expected : 1.000000
input : 0.000000 ^ 0.000000 => output = 0.128974 , expected : 0.000000
input : 1.000000 ^ 0.000000 => output = 0.260515 , expected : 1.000000
input : 0.000000 ^ 1.000000 => output = 0.288778 , expected : 1.000000
input : 0.000000 ^ 0.000000 => output = 0.145395 , expected : 0.000000
input : 1.000000 ^ 1.000000 => output = 0.320361 , expected : 0.000000
input : 0.000000 ^ 1.000000 => output = 0.302133 , expected : 1.000000
input : 1.000000 ^ 1.000000 => output = 0.310932 , expected : 0.000000
input : 0.000000 ^ 0.000000 => output = 0.144951 , expected : 0.000000
input : 1.000000 ^ 0.000000 => output = 0.317365 , expected : 1.000000
input : 1.000000 ^ 0.000000 => output = 0.350118 , expected : 1.000000
input : 0.000000 ^ 0.000000 => output = 0.163288 , expected : 0.000000
input : 0.000000 ^ 1.000000 => output = 0.381671 , expected : 1.000000
input : 1.000000 ^ 1.000000 => output = 0.378687 , expected : 0.000000
input : 0.000000 ^ 0.000000 => output = 0.165708 , expected : 0.000000
input : 1.000000 ^ 1.000000 => output = 0.342588 , expected : 0.000000
input : 0.000000 ^ 1.000000 => output = 0.374684 , expected : 1.000000
input : 1.000000 ^ 0.000000 => output = 0.409468 , expected : 1.000000
input : 1.000000 ^ 1.000000 => output = 0.403970 , expected : 0.000000
input : 1.000000 ^ 0.000000 => output = 0.420078 , expected : 1.000000
input : 0.000000 ^ 0.000000 => output = 0.182710 , expected : 0.000000
input : 0.000000 ^ 1.000000 => output = 0.451283 , expected : 1.000000
input : 1.000000 ^ 1.000000 => output = 0.424230 , expected : 0.000000
input : 0.000000 ^ 1.000000 => output = 0.459159 , expected : 1.000000
input : 1.000000 ^ 0.000000 => output = 0.492533 , expected : 1.000000
input : 0.000000 ^ 0.000000 => output = 0.203728 , expected : 0.000000
input : 1.000000 ^ 1.000000 => output = 0.454414 , expected : 0.000000
input : 0.000000 ^ 1.000000 => output = 0.491489 , expected : 1.000000
input : 0.000000 ^ 0.000000 => output = 0.202238 , expected : 0.000000
input : 1.000000 ^ 0.000000 => output = 0.519015 , expected : 1.000000
input : 1.000000 ^ 0.000000 => output = 0.548784 , expected : 1.000000
input : 0.000000 ^ 0.000000 => output = 0.219036 , expected : 0.000000
input : 0.000000 ^ 1.000000 => output = 0.571537 , expected : 1.000000
input : 1.000000 ^ 1.000000 => output = 0.538679 , expected : 0.000000
input : 1.000000 ^ 0.000000 => output = 0.563308 , expected : 1.000000
input : 0.000000 ^ 1.000000 => output = 0.589439 , expected : 1.000000
input : 0.000000 ^ 0.000000 => output = 0.231498 , expected : 0.000000
input : 1.000000 ^ 1.000000 => output = 0.508277 , expected : 0.000000
input : 1.000000 ^ 0.000000 => output = 0.577554 , expected : 1.000000
input : 1.000000 ^ 1.000000 => output = 0.485389 , expected : 0.000000
input : 0.000000 ^ 1.000000 => output = 0.573084 , expected : 1.000000
input : 0.000000 ^ 0.000000 => output = 0.224236 , expected : 0.000000
input : 0.000000 ^ 0.000000 => output = 0.220859 , expected : 0.000000
input : 1.000000 ^ 1.000000 => output = 0.476505 , expected : 0.000000
input : 1.000000 ^ 0.000000 => output = 0.559282 , expected : 1.000000
input : 0.000000 ^ 1.000000 => output = 0.585770 , expected : 1.000000
input : 1.000000 ^ 1.000000 => output = 0.460286 , expected : 0.000000
input : 0.000000 ^ 1.000000 => output = 0.582539 , expected : 1.000000
input : 0.000000 ^ 0.000000 => output = 0.224361 , expected : 0.000000
input : 1.000000 ^ 0.000000 => output = 0.602197 , expected : 1.000000
input : 0.000000 ^ 0.000000 => output = 0.229400 , expected : 0.000000
input : 1.000000 ^ 1.000000 => output = 0.476106 , expected : 0.000000
input : 0.000000 ^ 1.000000 => output = 0.591155 , expected : 1.000000
input : 1.000000 ^ 0.000000 => output = 0.614729 , expected : 1.000000
input : 1.000000 ^ 1.000000 => output = 0.468201 , expected : 0.000000
input : 1.000000 ^ 0.000000 => output = 0.608628 , expected : 1.000000
input : 0.000000 ^ 0.000000 => output = 0.230112 , expected : 0.000000
input : 0.000000 ^ 1.000000 => output = 0.625696 , expected : 1.000000
input : 0.000000 ^ 0.000000 => output = 0.234392 , expected : 0.000000
input : 1.000000 ^ 0.000000 => output = 0.641042 , expected : 1.000000
input : 0.000000 ^ 1.000000 => output = 0.659753 , expected : 1.000000
input : 1.000000 ^ 1.000000 => output = 0.527119 , expected : 0.000000
input : 0.000000 ^ 1.000000 => output = 0.646386 , expected : 1.000000
input : 0.000000 ^ 0.000000 => output = 0.240545 , expected : 0.000000
input : 1.000000 ^ 1.000000 => output = 0.462904 , expected : 0.000000
input : 1.000000 ^ 0.000000 => output = 0.633356 , expected : 1.000000
input : 0.000000 ^ 1.000000 => output = 0.652827 , expected : 1.000000
input : 1.000000 ^ 1.000000 => output = 0.494166 , expected : 0.000000
input : 1.000000 ^ 0.000000 => output = 0.641650 , expected : 1.000000
input : 0.000000 ^ 0.000000 => output = 0.237266 , expected : 0.000000
input : 0.000000 ^ 0.000000 => output = 0.233400 , expected : 0.000000
input : 1.000000 ^ 1.000000 => output = 0.453492 , expected : 0.000000
input : 1.000000 ^ 0.000000 => output = 0.623932 , expected : 1.000000
input : 0.000000 ^ 1.000000 => output = 0.644329 , expected : 1.000000
input : 0.000000 ^ 1.000000 => output = 0.662725 , expected : 1.000000
input : 1.000000 ^ 0.000000 => output = 0.679318 , expected : 1.000000
input : 0.000000 ^ 0.000000 => output = 0.248361 , expected : 0.000000
input : 1.000000 ^ 1.000000 => output = 0.451608 , expected : 0.000000
input : 1.000000 ^ 1.000000 => output = 0.420610 , expected : 0.000000
input : 0.000000 ^ 0.000000 => output = 0.224574 , expected : 0.000000
input : 0.000000 ^ 1.000000 => output = 0.637131 , expected : 1.000000
input : 1.000000 ^ 0.000000 => output = 0.656242 , expected : 1.000000
input : 1.000000 ^ 0.000000 => output = 0.673467 , expected : 1.000000
input : 0.000000 ^ 1.000000 => output = 0.689003 , expected : 1.000000
input : 1.000000 ^ 1.000000 => output = 0.445157 , expected : 0.000000
input : 0.000000 ^ 0.000000 => output = 0.238198 , expected : 0.000000
input : 0.000000 ^ 1.000000 => output = 0.674907 , expected : 1.000000
input : 0.000000 ^ 0.000000 => output = 0.240840 , expected : 0.000000
input : 1.000000 ^ 0.000000 => output = 0.685527 , expected : 1.000000
input : 1.000000 ^ 1.000000 => output = 0.468038 , expected : 0.000000
input : 1.000000 ^ 1.000000 => output = 0.370098 , expected : 0.000000
input : 1.000000 ^ 0.000000 => output = 0.655185 , expected : 1.000000
input : 0.000000 ^ 0.000000 => output = 0.231657 , expected : 0.000000
input : 0.000000 ^ 1.000000 => output = 0.667885 , expected : 1.000000
input : 0.000000 ^ 1.000000 => output = 0.683974 , expected : 1.000000
input : 1.000000 ^ 1.000000 => output = 0.400982 , expected : 0.000000
input : 0.000000 ^ 0.000000 => output = 0.232095 , expected : 0.000000
input : 1.000000 ^ 0.000000 => output = 0.673404 , expected : 1.000000
input : 1.000000 ^ 0.000000 => output = 0.688953 , expected : 1.000000
input : 0.000000 ^ 0.000000 => output = 0.241026 , expected : 0.000000
input : 1.000000 ^ 1.000000 => output = 0.367007 , expected : 0.000000
input : 0.000000 ^ 1.000000 => output = 0.680612 , expected : 1.000000
input : 1.000000 ^ 1.000000 => output = 0.435390 , expected : 0.000000
input : 0.000000 ^ 0.000000 => output = 0.225962 , expected : 0.000000
input : 0.000000 ^ 1.000000 => output = 0.666729 , expected : 1.000000
input : 1.000000 ^ 0.000000 => output = 0.682935 , expected : 1.000000
input : 0.000000 ^ 0.000000 => output = 0.235280 , expected : 0.000000
input : 0.000000 ^ 1.000000 => output = 0.693018 , expected : 1.000000
input : 1.000000 ^ 1.000000 => output = 0.357532 , expected : 0.000000
input : 1.000000 ^ 0.000000 => output = 0.689873 , expected : 1.000000
input : 0.000000 ^ 0.000000 => output = 0.235965 , expected : 0.000000
input : 0.000000 ^ 1.000000 => output = 0.699327 , expected : 1.000000
input : 1.000000 ^ 0.000000 => output = 0.712419 , expected : 1.000000
input : 1.000000 ^ 1.000000 => output = 0.414557 , expected : 0.000000
input : 0.000000 ^ 1.000000 => output = 0.703408 , expected : 1.000000
